,Income,Country,Profession
Analytical Chemist,73240.57840847809,,77220.70323076926
Angola,73240.57840847809,155569.46954356844,
Animal Breeder,73240.57840847809,,90742.05049382715
Anthropologist,73240.57840847809,,117189.86956989243
Antique Dealer,73240.57840847809,,111694.8407070707
Applications Engineer,73240.57840847809,,82474.2074226804
Applications Programmer,73240.57840847809,,101438.90064102567
Arbitrator,73240.57840847809,,94856.39813725492
Arborist,73240.57840847809,,95935.7004854369
Archaeologist,73240.57840847809,,106897.73746666667
Architect,73240.57840847809,,70592.45228070176
Archivist,73240.57840847809,,87013.4914893617
Area Manager,73240.57840847809,,60407.738294573624
Argentina,73240.57840847809,170725.57833333334,
Armenia,73240.57840847809,124815.1550714535,
Armourer,73240.57840847809,,88378.47893939394
Aromatherapist,73240.57840847809,,85657.72103448278
Art Critic,73240.57840847809,,72274.112238806
Art Dealer,73240.57840847809,,100389.67197916667
Art Historian,73240.57840847809,,71025.00041666666
Art Restorer,73240.57840847809,,78855.41943396229
Artexer,73240.57840847809,,75495.20314814815
Artist,73240.57840847809,,68521.34736842103
Arts,73240.57840847809,,102418.36746666665
Assembly Worker,73240.57840847809,,108150.17430769232
Assessor,73240.57840847809,,94893.63229166667
Assistant,73240.57840847809,,65518.305866666655
Assistant Caretaker,73240.57840847809,,120962.269625
Assistant Cook,73240.57840847809,,84141.76254545453
Assistant Manager,73240.57840847809,,102421.8017910448
Assistant Nurse,73240.57840847809,,66004.34440677967
Assistant Teacher,73240.57840847809,,53830.78702380951
Astrologer,73240.57840847809,,106689.828125
Astronomer,73240.57840847809,,80842.06021739134
Attendant,73240.57840847809,,92516.25746031746
Au Pair,73240.57840847809,,56162.57776315792
Auction Worker,73240.57840847809,,79643.32568965518
Auctioneer,73240.57840847809,,80432.58527027028
Audiologist,73240.57840847809,,109827.8974468085
Audit Clerk,73240.57840847809,,81926.58076923076
Audit Manager,73240.57840847809,,74539.11304347825
Auditor,73240.57840847809,,102732.03258426965
Australia,73240.57840847809,128574.26951412429,
Austria,73240.57840847809,63107.77682287709,
Auto Electrician,73240.57840847809,,101697.44528301887
Auxiliary Nurse,73240.57840847809,,77404.82854166666
Azerbaijan,73240.57840847809,58228.52077554186,
Bacon Curer,73240.57840847809,,100590.53186440677
Baggage Handler,73240.57840847809,,102327.42701754386
Bahamas,73240.57840847809,252094.85499999998,
Bahrain,73240.57840847809,153082.85835147745,
Bailiff,73240.57840847809,,92059.79362068967
Baker,73240.57840847809,,67190.12103448277
Bakery Assistant,73240.57840847809,,106200.0861904762
Bakery Manager,73240.57840847809,,72872.9675308642
Bakery Operator,73240.57840847809,,109231.95645833333
Balloonist,73240.57840847809,,101934.84289473685
Bank Clerk,73240.57840847809,,118424.4957692308
Bank Manager,73240.57840847809,,99646.97688888891
Bank Messenger,73240.57840847809,,116658.38436363635
Baptist Minister,73240.57840847809,,88090.53264150945
Bar Manager,73240.57840847809,,64195.052857142866
Bar Steward,73240.57840847809,,42050.646730769215
Barbados,73240.57840847809,167571.27666666667,
Barber,73240.57840847809,,84059.59947368421
Barmaid,73240.57840847809,,113660.64391304347
Barman,73240.57840847809,,104551.0285714286
Barrister,73240.57840847809,,127957.08023255815
Beautician,73240.57840847809,,76084.94333333334
Beauty Therapist,73240.57840847809,,79191.54153846156
Belarus,73240.57840847809,62188.295841259685,
Belgium,73240.57840847809,83208.2813143633,
Belize,73240.57840847809,191272.20037037035,
Benin,73240.57840847809,92686.09509276175,
Betting Shop,73240.57840847809,,61477.00022727272
Bhutan,73240.57840847809,176644.98078651688,
Bill Poster,73240.57840847809,,108683.845
Bingo Caller,73240.57840847809,,71688.38799999999
Biochemist,73240.57840847809,,91183.51351351354
Biologist,73240.57840847809,,78262.47200000001
Blacksmith,73240.57840847809,,101536.72687499998
Blind Assembler,73240.57840847809,,68647.89090909093
Blind Fitter,73240.57840847809,,90438.9402777778
Blinds Installer,73240.57840847809,,96150.87285714285
Boat Builder,73240.57840847809,,87853.9784375
Body Fitter,73240.57840847809,,76937.23085714287
Bodyguard,73240.57840847809,,86593.20971428572
Bodyshop,73240.57840847809,,72186.20000000001
Bolivia,73240.57840847809,75173.4113576039,
Book Binder,73240.57840847809,,110332.81719999999
Book Seller,73240.57840847809,,64954.893214285716
Book-Keeper,73240.57840847809,,129142.76760869566
Booking Agent,73240.57840847809,,58923.67720930233
Booking Clerk,73240.57840847809,,98671.46486486487
Bookmaker,73240.57840847809,,113014.83999999998
Bosnia and Herzegovina,73240.57840847809,123030.9029984686,
Botanist,73240.57840847809,,134855.93076923076
Botswana,73240.57840847809,139253.46759566796,
Branch Manager,73240.57840847809,,51653.0575
Breeder,73240.57840847809,,170435.4088
Brewer,73240.57840847809,,54880.90484848485
Brewery Manager,73240.57840847809,,100602.9707142857
Brewery Worker,73240.57840847809,,33216.712692307694
Bricklayer,73240.57840847809,,81763.91186046512
Broadcaster,73240.57840847809,,99412.43519999999
Brunei,73240.57840847809,211540.40642857138,
Builder,73240.57840847809,,61372.18439999999
Builders Labourer,73240.57840847809,,137140.36657894737
Building Advisor,73240.57840847809,,93016.24034482759
Building Control,73240.57840847809,,83946.6225
Bulgaria,73240.57840847809,60743.88409041292,
Burkina Faso,73240.57840847809,132337.08643983412,
Burundi,73240.57840847809,79574.84085153682,
Cabo Verde,73240.57840847809,219845.15694444446,
Cambodia,73240.57840847809,113232.07730337078,
Cameroon,73240.57840847809,147324.05187601957,
Canada,73240.57840847809,167770.723076923,
Central African Republic,73240.57840847809,97705.84652607793,
Chad,73240.57840847809,106317.92347696878,
Chile,73240.57840847809,131464.35372406637,
Colombia,73240.57840847809,117952.24583333333,
Comoros,73240.57840847809,156587.18682926832,
Congo,73240.57840847809,64367.96898737999,
Costa Rica,73240.57840847809,62469.625213675194,
Croatia,73240.57840847809,108722.8826583572,
Cuba,73240.57840847809,71517.76742003753,
Cyprus,73240.57840847809,167789.20933673473,
Czechia,73240.57840847809,60771.574902019966,
Côte d'Ivoire,73240.57840847809,150433.8846842878,
DR Congo,73240.57840847809,56623.50500000001,
Denmark,73240.57840847809,62554.11546389845,
Djibouti,73240.57840847809,152873.47664772725,
Dominican Republic,73240.57840847809,63907.435730808495,
Ecuador,73240.57840847809,127363.01670561498,
El Salvador,73240.57840847809,61444.268669327925,
Equatorial Guinea,73240.57840847809,146226.57664556958,
Eritrea,73240.57840847809,114595.4746113602,
Estonia,73240.57840847809,156442.61152454783,
Eswatini,73240.57840847809,178916.64833333337,
Ethiopia,73240.57840847809,346231.88999999996,
Fiji,73240.57840847809,162508.48542553195,
Finland,73240.57840847809,61756.60076655378,
France,73240.57840847809,186304.0875,
Gabon,73240.57840847809,138989.2587281397,
Gambia,73240.57840847809,136106.2425534673,
Georgia,73240.57840847809,109746.47593876095,
Ghana,73240.57840847809,161059.8527985074,
Greece,73240.57840847809,61310.834301228926,
Grenada,73240.57840847809,241545.64750000002,
Guatemala,73240.57840847809,126208.04484923722,
Guinea,73240.57840847809,97436.31111428072,
Guinea-Bissau,73240.57840847809,136316.37671284634,
Guyana,73240.57840847809,162313.6833333333,
HVAC mechanic,73240.57840847809,,65514.27548507467
Haiti,73240.57840847809,66380.39352222993,
Honduras,73240.57840847809,53900.88960145897,
Hungary,73240.57840847809,64605.238745387454,
Iceland,73240.57840847809,149648.03461538462,
Iraq,73240.57840847809,207194.84109374997,
Ireland,73240.57840847809,68313.78508370754,
Israel,73240.57840847809,62086.27891847538,
Italy,73240.57840847809,214362.74142857143,
Jamaica,73240.57840847809,127355.73645666122,
Jordan,73240.57840847809,58677.79474116175,
Kazakhstan,73240.57840847809,133543.24566830578,
Kenya,73240.57840847809,169594.54166666666,
Kiribati,73240.57840847809,208505.69250000003,
Kuwait,73240.57840847809,104991.96067918808,
Kyrgyzstan,73240.57840847809,63005.69936439231,
Laos,73240.57840847809,63462.80935746681,
Latvia,73240.57840847809,151212.66933694182,
Lebanon,73240.57840847809,62245.97222031102,
Lesotho,73240.57840847809,143247.056353692,
Liberia,73240.57840847809,65268.66310083606,
Libya,73240.57840847809,62062.287167759605,
Liechtenstein,73240.57840847809,117630.92999999998,
Lithuania,73240.57840847809,131437.14903805507,
Luxembourg,73240.57840847809,182460.02205882358,
Madagascar,73240.57840847809,146963.1721936758,
Malawi,73240.57840847809,134325.37210059163,
Malaysia,73240.57840847809,157408.08775609752,
Maldives,73240.57840847809,170017.84060606064,
Mali,73240.57840847809,127831.00746904015,
Malta,73240.57840847809,239018.88903225807,
Marshall Islands,73240.57840847809,16516.27,
Mauritania,73240.57840847809,98914.51176440952,
Mauritius,73240.57840847809,150541.72350649352,
Micronesia,73240.57840847809,156027.92333333334,
Moldova,73240.57840847809,107139.54074597222,
Mongolia,73240.57840847809,118703.16525783001,
Montenegro,73240.57840847809,132030.57139240502,
Morocco,73240.57840847809,170243.545042735,
Mozambique,73240.57840847809,151089.2642909091,
Myanmar,73240.57840847809,195456.5441666667,
Namibia,73240.57840847809,137739.61086165064,
Nauru,73240.57840847809,79549.52,
Nepal,73240.57840847809,147477.18238961036,
Netherlands,73240.57840847809,124313.9612448134,
New Zealand,73240.57840847809,69096.25290280009,
Nicaragua,73240.57840847809,63274.15419127198,
Niger,73240.57840847809,144953.33131521737,
Nigeria,73240.57840847809,23752.56,
North Korea,73240.57840847809,153821.5021598878,
North Macedonia,73240.57840847809,151443.302112676,
Norway,73240.57840847809,63302.39102174631,
Occupations,73240.57840847809,,105359.55516778528
Oman,73240.57840847809,65488.667435641204,
Panama,73240.57840847809,100182.20942631751,
Papua New Guinea,73240.57840847809,62975.771655177785,
Paraguay,73240.57840847809,62550.12814139999,
Peru,73240.57840847809,175170.3938020833,
Poland,73240.57840847809,150027.2722680413,
Portugal,73240.57840847809,61876.45943561007,
Qatar,73240.57840847809,137146.16089892865,
Romania,73240.57840847809,133439.69957168354,
Rwanda,73240.57840847809,92681.22168074064,
Saint Kitts & Nevis,73240.57840847809,24243.06,
Saint Lucia,73240.57840847809,34705.4675,
Samoa,73240.57840847809,85486.63999999998,
San Marino,73240.57840847809,178733.31999999998,
Sao Tome & Principe,73240.57840847809,186270.1275,
Saudi Arabia,73240.57840847809,158963.90431654677,
Senegal,73240.57840847809,114727.00483825617,
Serbia,73240.57840847809,62123.79487517125,
Seychelles,73240.57840847809,279233.9,
Sierra Leone,73240.57840847809,61107.23712546219,
Singapore,73240.57840847809,61528.46255482852,
Slovakia,73240.57840847809,62277.69002368964,
Slovenia,73240.57840847809,141228.2407142857,
Solomon Islands,73240.57840847809,182303.69654761907,
Somalia,73240.57840847809,105470.70858774033,
South Africa,73240.57840847809,248026.86454545453,
South Korea,73240.57840847809,298698.56714285706,
South Sudan,73240.57840847809,64481.91819496522,
Spain,73240.57840847809,171852.34933333332,
Sri Lanka,73240.57840847809,130315.70652017942,
St. Vincent & Grenadines,73240.57840847809,216122.26,
State of Palestine,73240.57840847809,64143.47606549608,
Sudan,73240.57840847809,154336.46396226416,
Suriname,73240.57840847809,164567.628028169,
Sweden,73240.57840847809,57923.506814383574,
Switzerland,73240.57840847809,62626.2290872582,
Syria,73240.57840847809,116426.61013650936,
Tajikistan,73240.57840847809,61930.61267558522,
Tanzania,73240.57840847809,74540.70249999998,
Timor-Leste,73240.57840847809,149588.39337016572,
Togo,73240.57840847809,60697.83745271016,
Tonga,73240.57840847809,257161.48999999996,
Trinidad and Tobago,73240.57840847809,155014.17250793654,
Tunisia,73240.57840847809,85562.27956260738,
Turkey,73240.57840847809,194079.34,
Turkmenistan,73240.57840847809,63713.936764426646,
Uganda,73240.57840847809,126952.30266666667,
Ukraine,73240.57840847809,148719.82814814814,
United Arab Emirates,73240.57840847809,56671.466701269645,
accessibility outreach coordinator,73240.57840847809,,38963.8875
accessibility program manager,73240.57840847809,,107715.66818181818
account executive ,73240.57840847809,,130503.50444444444
account manager,73240.57840847809,,88823.66923076923
accountable manager,73240.57840847809,,81588.09666666665
accountable project manager,73240.57840847809,,147185.85111111111
accountant,73240.57840847809,,138249.71076923076
accounting investment analyst,73240.57840847809,,85232.59416666665
actor,73240.57840847809,,74161.65909090909
actuary,73240.57840847809,,93403.80636363634
admin engineer,73240.57840847809,,31202.889696969698
administrative aide,73240.57840847809,,51288.56684210526
administrative assistant,73240.57840847809,,69852.56785714286
administrative associate to the executive director,73240.57840847809,,42253.74727272727
administrative business promotion coordinator,73240.57840847809,,51441.19699999999
administrative claim examiner,73240.57840847809,,84827.15846153846
administrative contract specialist,73240.57840847809,,63296.65374999998
administrative coordinator,73240.57840847809,,89201.38133333332
administrative engineer,73240.57840847809,,58271.96666666666
administrative management auditor,73240.57840847809,,92110.98333333335
administrative manager,73240.57840847809,,47138.24909090909
administrative office assistant,73240.57840847809,,86399.75727272725
administrative procurement analyst,73240.57840847809,,54409.844999999994
administrative services manager,73240.57840847809,,63458.73916666667
administrative specialist,73240.57840847809,,45137.504166666666
administrative staff analyst,73240.57840847809,,44732.85913043479
administrative support,73240.57840847809,,102213.16538461538
administrative transportation coordinator,73240.57840847809,,34314.11538461538
administrator on duty,73240.57840847809,,43854.4588235294
advertising and promotions manager,73240.57840847809,,65022.297999999995
advertising sales agent,73240.57840847809,,60113.913846153846
aerospace engineer,73240.57840847809,,65616.34692307691
agency attorney,73240.57840847809,,95411.51428571428
agency counsel,73240.57840847809,,70082.80238095237
agricultural engineer,73240.57840847809,,42787.877058823535
agricultural scientist,73240.57840847809,,31153.29157894737
agricultural technician,73240.57840847809,,72297.03176470587
aide,73240.57840847809,,69458.72499999998
air & noise pollution inspector,73240.57840847809,,64061.427500000005
aircraft mechanic,73240.57840847809,,104216.71699999998
aircraft pilot,73240.57840847809,,38716.01916666667
analyst,73240.57840847809,,93105.54400000001
analyst manager,73240.57840847809,,52245.634999999995
animal caretaker,73240.57840847809,,46527.17166666667
animal control worker,73240.57840847809,,62233.393125
animal trainer,73240.57840847809,,64925.91
animalbreeder,73240.57840847809,,79908.96225806454
announcer,73240.57840847809,,111501.56636363636
apparel patternmaker,73240.57840847809,,54298.27416666667
appliance repairer,73240.57840847809,,32460.683437500007
application developer,73240.57840847809,,58280.598823529406
application examiner,73240.57840847809,,80193.388
application solution manager,73240.57840847809,,83499.555
application support analyst,73240.57840847809,,71637.73388888889
application support reporting specialist,73240.57840847809,,50443.408461538456
application worker,73240.57840847809,,71607.67142857143
appraiser,73240.57840847809,,78635.30812499998
apprentice inspector,73240.57840847809,,40305.513333333336
architect,73240.57840847809,,84525.45214285712
architectural designer,73240.57840847809,,145824.194375
archivist,73240.57840847809,,99114.73444444442
artist,73240.57840847809,,63897.30464285717
assembler,73240.57840847809,,93999.565
assessor ,73240.57840847809,,141458.40545454543
asset management specialist,73240.57840847809,,44340.50818181818
asset manager,73240.57840847809,,88474.98923076922
assistant architect,73240.57840847809,,97359.45
assistant business services associate,73240.57840847809,,77991.62866666667
assistant chief of facility compliance,73240.57840847809,,37311.89
assistant civil engineer,73240.57840847809,,91199.14857142857
assistant commissioner,73240.57840847809,,87761.58272727272
assistant commissioner of administration,73240.57840847809,,21560.8176
assistant commissioner of communications and policy,73240.57840847809,,53268.35666666666
assistant commissioner of enforcement,73240.57840847809,,48281.35777777777
assistant commissioner of environmental health unit,73240.57840847809,,59959.882307692314
assistant commissioner of housing policy,73240.57840847809,,41789.30857142858
assistant commissioner of the office of placement administration,73240.57840847809,,66545.19625000001
assistant quality assurance associate,73240.57840847809,,94338.32076923076
astronomer,73240.57840847809,,94022.98266666665
atmospheric scientist,73240.57840847809,,38384.16
audiologist,73240.57840847809,,24441.65037037037
audit engineer,73240.57840847809,,13375.790000000003
audit intern,73240.57840847809,,64214.13692307692
audit manager,73240.57840847809,,72939.78333333334
audit supervisor,73240.57840847809,,106763.03333333333
auditor,73240.57840847809,,50551.589166666665
author,73240.57840847809,,19689.634642857138
auto  machinist,73240.57840847809,,69867.0305263158
auto mechanic,73240.57840847809,,107305.39
automotive glass installer,73240.57840847809,,29775.21925925926
avionics technician,73240.57840847809,,131164.58583333335
back end developer,73240.57840847809,,48158.726
baggage porter,73240.57840847809,,74700.462
bailiff,73240.57840847809,,46675.62299999999
baker,73240.57840847809,,50059.062666666665
barber,73240.57840847809,,158570.63125
bartender,73240.57840847809,,67177.61058823529
bartender helper,73240.57840847809,,99936.1946153846
bellhop,73240.57840847809,,60386.62086956522
best practices coach,73240.57840847809,,36921.28071428571
bid operations liaison,73240.57840847809,,77862.1838095238
bill and account collector,73240.57840847809,,90038.05733333333
billing and posting clerk,73240.57840847809,,84570.86190476188
biological scientist,73240.57840847809,,48183.47555555555
biological technician,73240.57840847809,,43549.864761904755
biomedical engineer,73240.57840847809,,62937.10166666666
blake fellow,73240.57840847809,,188729.26055555552
blockmason,73240.57840847809,,170829.38454545455
boat captain,73240.57840847809,,100542.61699999998
boiler inspector,73240.57840847809,,83614.94227272726
boilermaker,73240.57840847809,,52125.031052631566
bookbinder,73240.57840847809,,48804.03153846154
bookkeeper,73240.57840847809,,107946.53133333332
branch chief,73240.57840847809,,98899.099
brickmason,73240.57840847809,,84491.92176470588
bridge operator,73240.57840847809,,60170.52166666667
broadcast and sound engineering technician,73240.57840847809,,63192.563684210516
brokerage clerk,73240.57840847809,,90994.77529411764
budget,73240.57840847809,,55978.864375000005
budget analyst,73240.57840847809,,39089.943333333336
budget review specialist,73240.57840847809,,75776.42055555554
building cleaner,73240.57840847809,,31749.460909090907
building inspector,73240.57840847809,,60394.88058823529
bus and truck mechanics and diesel engine specialist,73240.57840847809,,52459.401176470594
business administrator ,73240.57840847809,,51045.735
business analyst,73240.57840847809,,49644.75
business intelligence developer,73240.57840847809,,61235.78346153845
business manager,73240.57840847809,,86316.25166666666
business operations specialist,73240.57840847809,,98478.405
business solution architect,73240.57840847809,,182189.66760000004
butcher,73240.57840847809,,55299.10624999999
buyer,73240.57840847809,,87775.96359999999
buyer services manager,73240.57840847809,,39559.828421052625
cabinetmaker,73240.57840847809,,81405.66249999999
cafeteria attendant,73240.57840847809,,56771.18363636364
calendar assistant,73240.57840847809,,85782.92115384615
call center manager,73240.57840847809,,106095.36333333333
camera operator,73240.57840847809,,62668.920625
capacity building assistance specialist,73240.57840847809,,29704.769999999997
cargo and freight agent,73240.57840847809,,44080.51434782608
carpenter,73240.57840847809,,55813.20642857143
cartographer,73240.57840847809,,38354.45437499999
case analyst,73240.57840847809,,119659.45238095238
case management nurse,73240.57840847809,,64731.424166666664
case management team leader,73240.57840847809,,49911.526875
case management unit supervisor,73240.57840847809,,66393.08499999999
case monitor supervisor,73240.57840847809,,61586.963125
case worker,73240.57840847809,,82781.64789473685
cashier,73240.57840847809,,67837.26615384614
cashier supervisor,73240.57840847809,,75634.61562499999
caster,73240.57840847809,,71061.89080000001
ceiling tile installer,73240.57840847809,,62265.112307692296
cement mason,73240.57840847809,,61282.23583333333
certified it administrator,73240.57840847809,,57524.05533333334
certified it developer,73240.57840847809,,115372.28399999999
certified specialist,73240.57840847809,,41785.11869565217
channel manager,73240.57840847809,,34697.287500000006
chauffeur,73240.57840847809,,49078.21352941177
chef,73240.57840847809,,69904.3352
chemical engineer,73240.57840847809,,39821.62512820513
chemical technician,73240.57840847809,,74844.67266666667
chemists,73240.57840847809,,87670.10263157895
chief architect,73240.57840847809,,115657.27647058823
chief compliance officer,73240.57840847809,,53958.41440000001
chief diversity officer,73240.57840847809,,37607.72185185186
chief engineer of dispute resolutions,73240.57840847809,,57793.7665
chief executive,73240.57840847809,,56073.74522727273
chief financial officer,73240.57840847809,,140444.02380952382
chief information security officer,73240.57840847809,,105054.75764705881
chief investigator,73240.57840847809,,59035.56562500002
chief of staff,73240.57840847809,,72937.1776923077
chief operating officer,73240.57840847809,,40086.352162162184
chief plan examiner,73240.57840847809,,55064.50578947369
chief review officer,73240.57840847809,,91320.51130434782
child care worker,73240.57840847809,,99856.77782608694
child welfare analyst,73240.57840847809,,62711.39108108107
chiropractor,73240.57840847809,,52356.219333333334
choreographer,73240.57840847809,,34441.19857142858
city assessor,73240.57840847809,,65641.904
city laborer,73240.57840847809,,71891.9816
city medical examiner,73240.57840847809,,67062.19687500001
city park worker,73240.57840847809,,65242.12789473685
city planner,73240.57840847809,,56948.28548387096
city planning technician,73240.57840847809,,72435.1025
city research scientist,73240.57840847809,,62334.1416
civil design lead,73240.57840847809,,76011.39703703704
civil engineer,73240.57840847809,,95259.92341463419
civilian investigator,73240.57840847809,,43293.854999999996
claim specialist,73240.57840847809,,73033.5740909091
claims adjuster,73240.57840847809,,29402.59
claims processor,73240.57840847809,,105650.50673913046
claims specialist,73240.57840847809,,68932.1961111111
clergy,73240.57840847809,,69621.47095238096
clerical aide,73240.57840847809,,69972.74285714285
clerical assistant,73240.57840847809,,41953.4290909091
clerical associate,73240.57840847809,,77163.329
clerical supervisor,73240.57840847809,,64235.17310344828
clerk,73240.57840847809,,68980.68500000001
client services representative,73240.57840847809,,53886.098999999995
climber & pruner,73240.57840847809,,54072.808823529405
clinical case supervisor,73240.57840847809,,34178.55583333333
clinical director,73240.57840847809,,25857.205714285716
clinical laboratory technologist and technician,73240.57840847809,,35308.91588235294
cloud reliability engineer,73240.57840847809,,65262.70045454545
coach,73240.57840847809,,85661.26833333333
collections administrator,73240.57840847809,,33319.7045
collector,73240.57840847809,,39194.54176470588
college aide,73240.57840847809,,43837.726363636364
commercial diver,73240.57840847809,,25151.49809523809
communication electrician,73240.57840847809,,31787.399411764705
communication manager,73240.57840847809,,38236.63529411765
communication specialist,73240.57840847809,,64739.89666666667
communication worker,73240.57840847809,,37135.1664102564
communications equipment operator,73240.57840847809,,81809.25785714285
community & industry relations associate,73240.57840847809,,66637.94307692307
community assistant,73240.57840847809,,34272.2825
community associate,73240.57840847809,,52704.35249999999
community coordinator,73240.57840847809,,53175.381
community service manager,73240.57840847809,,55291.92666666667
community supervisor,73240.57840847809,,61550.349230769236
compliance analyst,73240.57840847809,,56202.818571428565
compliance and enforcement attorney,73240.57840847809,,61899.085
compliance auditor,73240.57840847809,,37187.42083333334
compliance manager,73240.57840847809,,81714.98789473684
compliance officer,73240.57840847809,,35410.21684210526
compliance support specialist,73240.57840847809,,50278.1561904762
computer aide,73240.57840847809,,56095.622
computer and information systems manager,73240.57840847809,,42506.59
computer associate,73240.57840847809,,36683.25
computer control operator,73240.57840847809,,70036.7495
computer hardware engineer,73240.57840847809,,65714.49458333333
computer operator,73240.57840847809,,38138.14419354838
computer programmer,73240.57840847809,,36946.45538461538
computer scientist,73240.57840847809,,28126.342500000002
computer service technician,73240.57840847809,,40968.44909090909
computer software engineer,73240.57840847809,,45016.97888888888
computer specialist,73240.57840847809,,64321.33666666666
computer support specialist,73240.57840847809,,40105.75444444445
computer systems manager,73240.57840847809,,38950.134230769225
concierge,73240.57840847809,,46848.639599999995
confidential investigator,73240.57840847809,,52173.19571428571
conflict resolution specialist,73240.57840847809,,35510.460476190485
consent specialist,73240.57840847809,,47154.588124999995
conservation scientist ,73240.57840847809,,60237.09925925926
constituent services liaison,73240.57840847809,,50142.78142857142
construction inspector,73240.57840847809,,73291.22142857143
construction intern,73240.57840847809,,58010.44
construction manager,73240.57840847809,,51078.827567567576
construction project manager,73240.57840847809,,39239.373
construction safety and quality inspector,73240.57840847809,,55809.33764705883
content developer,73240.57840847809,,34196.106111111105
content engineer ,73240.57840847809,,64404.456249999996
contract analyst,73240.57840847809,,45455.81121951219
contract manager,73240.57840847809,,74362.0469565218
contract processor,73240.57840847809,,57107.83718750001
contract specialist,73240.57840847809,,77733.53827586208
contracts attorney,73240.57840847809,,49731.33242424243
contracts officer,73240.57840847809,,55569.93431818183
conveyor operator,73240.57840847809,,50238.358235294116
coordinator,73240.57840847809,,52048.03567567568
correctional officer,73240.57840847809,,63572.56135135135
correctional officers,73240.57840847809,,74206.2643902439
cosmetologist,73240.57840847809,,49008.97359999999
cost estimating manager,73240.57840847809,,61517.37829268294
cost estimator,73240.57840847809,,34796.075072463755
counselor,73240.57840847809,,43255.385084745765
courier,73240.57840847809,,54621.6776923077
court liaison officer,73240.57840847809,,45128.77547169812
court representative,73240.57840847809,,49291.84911111111
cranes & derricks inspector,73240.57840847809,,52390.660312500004
credit analyst,73240.57840847809,,54182.66921052632
credit authorizer,73240.57840847809,,60683.91549019608
crime analyst,73240.57840847809,,51572.498750000006
criminal investigator,73240.57840847809,,61065.659999999996
criminalist,73240.57840847809,,35903.110408163266
crm developer,73240.57840847809,,58839.512093023266
crossing guard,73240.57840847809,,69600.12891891894
cultural affairs coordinator,73240.57840847809,,69614.1345
curator,73240.57840847809,,45349.68887096774
custodial assistant,73240.57840847809,,54547.88421052631
custodian,73240.57840847809,,39463.619736842105
customer service,73240.57840847809,,41424.87241379311
customer service & operations analysis intern,73240.57840847809,,57786.371276595746
customer service representative,73240.57840847809,,50159.82555555555
cybersecurity operations analyst,73240.57840847809,,47734.84859154927
dam safety coordinator,73240.57840847809,,53409.615892857146
dancer,73240.57840847809,,66143.46805970151
data analyst,73240.57840847809,,46232.61652173914
data and process analyst,73240.57840847809,,39691.353584905664
data and technology analyst,73240.57840847809,,48742.73000000001
data architect,73240.57840847809,,58247.48189655172
data assistant,73240.57840847809,,51321.09312500001
data engineer,73240.57840847809,,51735.359142857145
data entry clerk,73240.57840847809,,60631.03588235293
data entry keyer,73240.57840847809,,75396.382
data management assistant,73240.57840847809,,77080.53705882354
data manager,73240.57840847809,,87986.11630769234
data research analyst,73240.57840847809,,60295.528030303045
